"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","2043.00","2077.42"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","2018.00","2042.82"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","1947.00","1966.48"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","1879.00","1915.50"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","1846.00","1892.50"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|DK1","1857.00","1903.26"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|DK1","1938.00","1956.79"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|DK1","2010.00","2009.82"
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|DK1","2076.00","2080.81"
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|DK1","2163.00","2150.22"
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|DK1","2270.00","2266.62"
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|DK1","2355.00","2331.51"
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|DK1","2360.00","2353.69"
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|DK1","2328.00","2334.16"
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|DK1","2341.00","2342.38"
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|DK1","2349.00","2372.17"
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|DK1","2530.00","2500.39"
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|DK1","2698.00","2691.02"
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|DK1","2641.00","2668.62"
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|DK1","2521.00","2524.10"
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|DK1","2393.00","2369.49"
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|DK1","2275.00","2269.97"
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|DK1","2201.00","2140.01"
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|DK1","2123.00","2011.80"
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|DK1","1940.00","1942.02"
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|DK1","1880.00","1886.97"
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|DK1","1879.00","1867.91"
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|DK1","1944.00","1863.57"
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|DK1","1980.00","1881.83"
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|DK1","1984.00","1938.39"
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|DK1","2080.00","2038.55"
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|DK1","2193.00","2167.88"
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|DK1","2332.00","2316.46"
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|DK1","2440.00","2454.19"
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|DK1","2523.00","2536.93"
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|DK1","2556.00","2561.59"
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|DK1","2542.00","2552.04"
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|DK1","2521.00","2528.26"
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|DK1","2515.00","2509.70"
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|DK1","2491.00","2506.13"
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|DK1","2659.00","2699.47"
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|DK1","2918.00","2943.82"
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|DK1","2905.00","2876.84"
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|DK1","2668.00","2654.94"
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|DK1","2487.00","2485.94"
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|DK1","2328.00","2339.93"
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|DK1","2190.00","2217.00"
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|DK1","2062.00","2088.47"
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|DK1","1973.00","1995.16"
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|DK1","1907.00","1934.07"
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|DK1","1881.00","1890.33"
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|DK1","1909.00","1970.85"
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|DK1","1991.00","2001.00"
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|DK1","2038.00","2059.23"
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|DK1","2123.00","2143.15"
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|DK1","2297.00","2323.83"
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|DK1","2475.00","2483.59"
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|DK1","2600.00","2591.08"
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|DK1","2631.00","2672.39"
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|DK1","2680.00","2705.72"
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|DK1","2686.00","2723.76"
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|DK1","2687.00","2690.65"
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|DK1","2681.00","2709.67"
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|DK1","2723.00","2729.57"
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|DK1","2891.00","2888.11"
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|DK1","3140.00","3134.18"
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|DK1","3040.00","3000.72"
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|DK1","2823.00","2836.60"
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|DK1","2679.00","2706.54"
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|DK1","2589.00","2580.45"
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|DK1","2542.00","2406.21"
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|DK1","2486.00","2253.90"
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|DK1","2185.00","2215.59"
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|DK1","2177.00","2215.04"
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|DK1","2165.00","2127.35"
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|DK1","2163.00","2181.04"
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|DK1","2230.00","2252.28"
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|DK1","2412.00","2405.84"
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|DK1","2811.00","2785.52"
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|DK1","3216.00","3217.79"
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|DK1","3341.00","3311.72"
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|DK1","3326.00","3368.10"
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|DK1","3392.00","3372.08"
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|DK1","3359.00","3482.79"
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|DK1","3387.00","3390.38"
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|DK1","3396.00","3386.84"
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|DK1","3362.00","3335.79"
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|DK1","3253.00","3228.56"
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|DK1","3317.00","3298.60"
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|DK1","3516.00","3533.44"
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|DK1","3330.00","3320.06"
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|DK1","3178.00","3217.23"
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|DK1","3051.00","3052.46"
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|DK1","2871.00","2878.40"
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|DK1","2722.00","2729.57"
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|DK1","2566.00","2535.93"
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|DK1","2347.00","2363.20"
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|DK1","2246.00","2276.05"
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|DK1","2242.00","2241.29"
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|DK1","2243.00","2241.09"
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|DK1","2298.00","2307.52"
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|DK1","2447.00","2459.27"
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|DK1","2752.00","2767.02"
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|DK1","3099.00","3174.86"
